,ID,Name,Latitude,Longitude,BikesAvailable,EmptySlots,Installed,Locked,Temporary,UpdateTime
196,193,"Bankside Mix, Bankside",51.50581776,-0.10018633699999999,60.0,0,True,False,False,10:30
197,192,"Wardour Street, Soho",51.51251523,-0.133201961,9.0,7,True,False,False,10:30
198,195,"Milroy Walk, South Bank",51.50724437,-0.106237501,19.0,11,True,False,False,10:30
199,194,"Hop Exchange, The Borough",51.50462759,-0.091773776,5.0,50,True,False,False,10:30
200,220,"Chelsea Green, Chelsea",51.49066456,-0.166485083,16.0,11,True,False,False,10:30
201,221,"Horseferry Road, Westminster",51.49481649,-0.13045856,16.0,0,True,False,False,10:30
202,222,"Knightsbridge, Hyde Park",51.50275704,-0.155349725,12.0,31,True,False,False,10:30
203,223,"Rodney Road , Walworth",51.49148474,-0.090220911,3.0,21,True,False,False,10:30
204,216,"Old Brompton Road, South Kensington",51.49094565,-0.181190899,10.0,19,True,False,False,10:30
205,217,"Wormwood Street, Liverpool Street",51.51615461,-0.08242239900000001,2.0,11,True,False,False,10:30
206,218,"St. Luke's Church, Chelsea",51.48971651,-0.17019440800000002,14.0,6,True,False,False,10:30
207,219,"Bramham Gardens, Earl's Court",51.49016361,-0.19039362,14.0,13,True,False,False,10:30
208,212,"Campden Hill Road, Notting Hill",51.50658458,-0.19900402600000003,3.0,14,True,False,False,10:30
209,213,"Wellington Arch, Hyde Park",51.50274025,-0.14956920099999998,15.0,17,True,False,False,10:30
210,214,"Endsleigh Gardens, Euston",51.52683806,-0.130504336,0.0,32,True,False,False,10:30
211,215,"Moorfields, Moorgate",51.51906932,-0.088285377,38.0,16,True,False,False,10:30
212,208,"Mallory Street, Marylebone",51.52505151,-0.166304359,11.0,8,True,False,False,10:30
213,209,"Denyer Street, Knightsbridge",51.49358391,-0.16510139199999999,22.0,8,True,False,False,10:30
214,210,"Hinde Street, Marylebone",51.51681444,-0.151926305,19.0,2,True,False,False,10:30
215,211,"Cadogan Place, Knightsbridge",51.49464523,-0.158105512,31.0,3,True,False,False,10:30
